Key	Chinese(Traditional)	English
op_narr_intro_01	青牛鎮地處偏僻，鎮上人家世代務農。韓立便是其中一戶貧農家的孩子。
op_narr_intro_02	他不算機靈，卻有一樣旁人少有的本事——凡事都要先想三分退路。
op_hanmu_call	立兒——立兒？快進屋來，你三叔回來啦！
op_hanmu_01	立兒，家裡的光景你也曉得，多一張嘴就多一分難。
op_hanmu_02	你三叔在前頭等你，去聽他說——能有口安穩飯吃，是天大的福分。
op_hanmu_repeat	快去尋你三叔吧，莫讓他久等了。
op_bundle_examine	牆角擱著一個舊布囊，是娘替你連夜收拾的。
op_bundle_get	你收拾了行囊。
op_bundle_empty	布囊已經收拾妥當，沒什麼好添的了。
op_sanshu_recruit	立兒，你也老大不小了。七玄門在招外門弟子——通過資質測試便能入門，每月還有米糧月例，貼補家用。
op_sanshu_test	測試不難，看的是根骨資質。能不能入門，是命；可入了門，往後怎麼活下去，是本事。
op_sanshu_advice	叔在門裡當了多年雜役，看得多了。記住一句話——機會難得，但凡事，留個心眼總沒錯。
op_sanshu_depart	收拾停當便動身。出鎮走村外那條田埂小徑，叔在關口等你。
op_sanshu_repeat	還有什麼放不下的？早些動身，路上不等人。
op_villager_well_01	這口井，養活了大半個鎮子的人哩。
op_villager_well_02	後生仔，你也要去七玄門？……唉，能出去也好。總比在這土裡刨食強。
op_peddler_greet	客官看點啥？乾糧、草鞋、針線，都是趕路用得著的。手頭緊就先看著——銅板可得省著花。
op_peddler_poor	銅板不夠哩，客官。莫急，七玄門有月例，往後就寬裕了。
op_peddler_thanks	得嘞，慢走！
op_choice_shortcut_prompt	前方有條近路，只是隱約聽見惡犬低吼，地面也泥濘難行。
op_choice_shortcut_opt_safe	繞遠路（穩妥）
op_choice_shortcut_opt_rush	抄近路（省時）
op_choice_shortcut_safe	你多走了些路，卻在草叢裡撿著幾枚別人遺落的銅板。謹慎，往往有它的回報。
op_choice_shortcut_rush	惡犬撲來，你連滾帶爬才脫身，乾糧掉了一塊，褲腳也濕透了。逞快，未必划算。
op_encounter_intro	拐過田埂，一條野狗呲牙攔在路上，喉間低低作響。
op_encounter_hint	打不過，就走。逃跑，永遠是一條路。
op_encounter_flee	你不與牠糾纏，側身退開。野狗朝你背影吠了兩聲，到底沒追上來。能走，就不必硬拼。
op_encounter_win	你揀起一根樹枝胡亂揮打，野狗討了個沒趣，夾著尾巴跑了。
op_sanshu_gate	都收拾妥當了？那走罷。跟著叔，少說話，多看，多留心。
op_narr_leave	韓立回頭望了一眼青牛鎮。他還不知道，這一步，將把他帶往一個怎樣的世界。
op_narr_chapter_end	——序章 完——
op_sanshu_wait	先去跟你娘說說話罷，她有話囑咐你。	
op_gate_m03_todo	〔田埂小徑尚未開放——待後續繪製開通。〕	
op_gate_need_bundle	〔行囊還沒拿呢。牆角那個包袱是娘連夜替你收拾的，可別空著手就走。〕	
op_coins_hidden_get	樹洞裡藏著幾枚小時候悄悄塞進去的銅錢——當時想著，總有用得上的一天。
op_coins_hidden_empty	樹洞已經掏空了，就那麼點私房錢。
op_sandal_worn_get	草叢邊擱著一雙不知誰穿舊了扔下的草鞋，破雖破了些，勉強還能穿。窮家的孩子不嫌棄——湊合著用吧。	
op_sandal_worn_empty	那雙破草鞋，已經被你撿走了。	
op_gate_need_sanshu	〔三叔正在關口候著，要領你一同啟程。去尋他罷。〕	
op_act1_todo	〔第一幕・七玄門 尚在建置中——序章到此告一段落。〕	
op_road_intro	〔前方岔開兩條路：一條近道能省腳程，一條遠路要多繞些工夫。此去吉凶難料，走哪條，你且謹慎斟酌。〕	
op_road_far_coin	你揀了遠路，多繞了好些工夫。行至一處草坡，竟在草窠裡踢著幾枚旁人遺落的銅板——繞遠路，有時反有意外之喜。	
op_encounter_win_coin	野狗吃痛竄逃，倒在草裡抖落幾枚沾土的銅板。你彎腰揀了起來。	
op_shortcut_cost	抄近路果然得付代價——方才閃避慌亂間，一份乾糧甩落在泥水裡，再撿不回來了。	
op_sanshu_gate_grind	喲，可算來啦。叔在這關口候著，都快把腳邊的石子數清嘍——嘿，瞧你腳上那雙新草鞋，倒沒虧待自己。也好、也好，出門在外，腳下利索是福氣。走罷，跟著叔。	
a1_narr_arrive_01	行了數日山路，韓立跟著三叔，第一次見到傳說中的七玄門。	
a1_narr_arrive_02	青石臺階直上雲霧，山門牌樓比青牛鎮最氣派的祠堂還高出數倍。他不由得屏住了呼吸。	
a1_sanshu_arrive	「到了。這便是七玄門。記著叔的話——少說話，多看，多留心。到了裡頭，你就是個外人，凡事忍著點。」	
a1_elder_test_intro	「新來的？站到那塊靈石前，手貼上去，運氣試試。莫緊張，測的是根骨，急也急不來。」	
a1_narr_test_proc	韓立依言按上冰涼的石面。石心深處，一縷微光緩緩亮起——不算耀眼，卻穩穩地不曾熄滅。	
a1_elder_test_pass	「唔……靈根雖淺，倒還算純。是個能熬的。收了。」	
a1_elder_test_result	〔資質判定：可入外門〕	
a1_narr_enroll	就這樣，韓立成了七玄門的外門弟子。沒有想像中的仙風道骨，只有一身雜役的粗布衣，和一句「往後好自為之」。往弟子院去罷。	
a1_todo_dorm	〔外門弟子院尚在建置中——第一幕序幕到此告一段落。〕	
a1_gate_no_return	山門已在身後。既已踏進七玄門這道門，便沒有再回頭的道理了。往前走罷。	
a1_narr_go_test	資質還沒測，怎好在門中四處亂走？——且先尋那位長老，測過根骨資質要緊。	
a1_todo_beyond	〔七玄門其餘區域尚在建置中——第一幕序幕到此告一段落。〕	
